SYMBOL,p value,p (rank),Fold change,ln(p),Fold (rank),log(fold),which
Ccdc126,0.00054359501323642,459.0,1.21043380644024,-7.517306049319466,252.0,0.27552418653922384,both
Esco2,0.00120613793419233,911.0,1.23295018112306,-6.720331813923464,182.0,0.30211450704103426,both
1700047I17Rik1,0.00295917090861286,1672.0,1.25786236544209,-5.822846148322665,103.0,0.33097407201277335,both
Trappc6b,0.00297800356181188,1677.0,1.25778231928934,-5.816502148679437,105.0,0.33088226080560695,both
LOC100047934,3.99113198628065e-05,44.0,1.13203207289837,-10.128850568470597,910.0,0.17891483339588615,both
Ugcg,0.00109460271247142,850.0,1.22746517331476,-6.817363801209455,194.0,0.29568209175066773,both
Brpf1,8.76343509692568e-05,92.0,1.15431044933483,-9.342337502534264,645.0,0.20703128592596126,both
Usp6nl,0.000345861389114077,311.0,1.19385852839014,-7.969472472668859,339.0,0.25563188812500554,both
Etv5,0.000706217965089073,587.0,1.21409843882614,-7.255586635698296,236.0,0.27988539972274334,both
Nedd1,0.000711073537901896,593.0,1.21406578585633,-7.2487347046741295,238.0,0.2798465981646451,both
Taf5,0.000394940250051601,356.0,1.19597296135749,-7.83677607019711,326.0,0.25818477335172724,both
Adnp,8.74426670181006e-05,91.0,1.15248955561085,-9.344527213439221,662.0,0.20475367634944333,both
2810403A07Rik,0.00042525022994111,375.0,1.19762694611165,-7.762832785968614,318.0,0.26017858691670737,both
Taok1,0.000628016451386992,528.0,1.20880549147531,-7.372944195363095,260.0,0.2735821196410259,both
Anapc5,0.000161929124991689,143.0,1.16954667247401,-8.728351818514263,511.0,0.2259494356991037,both
Rab11b,5.33101219394316e-05,64.0,1.13666113284657,-9.839384339767156,851.0,0.1848022148031498,both
Chic2,0.00208871672451916,1312.0,1.24210749407351,-6.171205408992263,144.0,0.3127900322186935,both
Elavl2,0.000205374221549426,186.0,1.17494938322299,-8.490676772000265,473.0,0.23259860687869763,both
Vkorc1l1,0.00143210252635628,1020.0,1.23087222650946,-6.548611616389085,185.0,0.29968100735555464,both
Dcun1d4,0.00187522938532347,1227.0,1.23780797092623,-6.279024288203365,157.0,0.3077875173948509,both
F630043A04Rik,0.000277250070028656,254.0,1.18174542797314,-8.19059067915076,427.0,0.24091928309873126,both
Bbc3,0.00177197234748183,1182.0,1.23464770617648,-6.335662032179572,169.0,0.3040994425731028,both
Ncstn,0.00042713661496685,378.0,1.1931481501739,-7.758406654531621,344.0,0.2547731899326758,both
4921505C17Rik,0.00266803079311506,1565.0,1.24589324901476,-5.92641460934804,129.0,0.31718046024413465,both
Dcun1d4,0.0010706255977635,836.0,1.21914723827945,-6.839512130554697,216.0,0.2858723729703765,both
Btg1,0.00108119686667796,843.0,1.21862340205488,-6.829686641570287,219.0,0.28525235078900074,both
Arl8a,0.00341918100496663,1812.0,1.25158215865986,-5.678354228817656,118.0,0.32375299817820824,both
Tbk1,0.00176887514040169,1181.0,1.23194180190476,-6.337411448318304,184.0,0.3009341033651316,both
Sox2,0.00105536271211526,825.0,1.21665584134697,-6.853870768187947,228.0,0.2829211268020285,both
Dusp6,0.000520950267672959,439.0,1.19610752390241,-7.559855976289227,325.0,0.2583470862150663,both
Sqle,0.00194248160474464,1255.0,1.23373174659449,-6.243788945654241,176.0,0.3030287397638064,both
Taok1,0.000181915988306525,167.0,1.1652690303622,-8.611965580170208,542.0,0.220663074159829,both
Fnip1,0.00064848072903545,541.0,1.20130664657468,-7.340878270862958,302.0,0.26460446163839135,both
Usp1,0.000328497805830108,290.0,1.18164110150219,-8.020980399422317,428.0,0.24079191393546165,both
Itgb1bp1,0.000449290571322591,392.0,1.1906191521685,-7.707840727368556,366.0,0.2517120066987901,both
3830431G21Rik,0.000517882932580926,438.0,1.19462100679835,-7.565761340124907,336.0,0.2565529961684037,both
Clstn3,0.000666822125921396,554.0,1.20160312948963,-7.312987225392509,299.0,0.2649604753660295,both
Bbc3,0.00364910565057208,1877.0,1.25004642478138,-5.613273168652342,120.0,0.3219816753338814,both
Skil,0.0025789327471395,1518.0,1.23964564908714,-5.960379629530543,150.0,0.3099277872544501,both
Cbfb,0.00017528245280285,158.0,1.16078948756372,-8.64911186914849,591.0,0.21510635912414927,both
Cwf19l1,0.000778112456345403,645.0,1.20332762439901,-7.158639498800458,289.0,0.2670294918449402,both
Ube2g1,0.0006956791772047,581.0,1.19979443846645,-7.270621956193119,306.0,0.26278724915985396,both
Brpf1,0.000289213606728733,260.0,1.17444686112209,-8.148345019240356,476.0,0.23198143882481412,both
Ski,0.000791646502794174,651.0,1.20197704558745,-7.141395600642739,297.0,0.2654093448566159,both
Pum1,0.00281441200433796,1623.0,1.23810479517456,-5.87300191866249,156.0,0.30813343174126573,both
Etv5,0.00088621085342988,730.0,1.20467778287474,-7.0285556521176185,280.0,0.2686473180637594,both
Dab2ip,0.000540142957487832,456.0,1.19025030017736,-7.523676717353791,370.0,0.25126499273742203,both
Hmgb2l1,0.00178385580068485,1188.0,1.22441054525947,-6.328978077303704,205.0,0.2920873752699535,both
Cenpi,0.000660327834022367,549.0,1.19562637222135,-7.322774128051752,328.0,0.25776662435459785,both
2310016C08Rik,0.00250168531641581,1478.0,1.23331411397722,-5.990790647662905,178.0,0.30254028795086374,both
Epc1,0.000478572839142544,418.0,1.18387980768687,-7.644702134742787,411.0,0.2435226201087637,both
Vps33b,0.000947131249781297,765.0,1.20316331903361,-6.962072879047643,291.0,0.2668324892035054,both
Fancd2,0.000531878816297349,447.0,1.18609797454517,-7.539094883485222,397.0,0.24622318488600117,both
LOC654842,0.00101960673571666,805.0,1.20397488809264,-6.888338279249671,286.0,0.26780530139825093,both
Clspn,0.000282297508791496,256.0,1.16675937296756,-8.172549047428515,535.0,0.22250705699950873,both
Ube2k,0.00097975107434456,783.0,1.20258330473137,-6.928212024335443,295.0,0.26613683508479374,both
Tle1,0.00258877809314451,1522.0,1.22994193832963,-5.956569293301963,188.0,0.29859021210026754,both
Ap1s1,0.00106749119078509,835.0,1.20401475685081,-6.842444065087497,284.0,0.2678530744107506,both
Fbxo27,0.00142473433926016,1018.0,1.21155209939343,-6.553769911230854,248.0,0.27685644516929503,both
Ubl3,0.000373385536372117,344.0,1.17224075034465,-7.892899062550316,490.0,0.22926889540801826,both
Rhot1,0.000787718423526873,649.0,1.19375460000243,-7.146369862513822,343.0,0.2555062924262146,both
Med24,0.00011472609710983,112.0,1.13800603871206,-9.072963034775691,832.0,0.18650821317773536,both
1700047I17Rik1,0.00074537411864406,625.0,1.19084231870404,-7.201624292954627,362.0,0.2519823963389303,both
Ppm1b,7.53609583071801e-05,80.0,1.12473579008036,-9.493221211386626,1024.0,0.16958614001311584,both
Elavl2,0.00043450699854819,384.0,1.17518642324085,-7.741298506258074,470.0,0.23288963385550282,both
Nme7,0.00075530502010901,634.0,1.1908444594441,-7.188388890156951,361.0,0.25198498982443535,both
Prkacb,4.18828956583184e-05,47.0,1.1048390356644,-10.080633032558463,1332.0,0.14383619824640073,both
Atad1,0.000334210782634958,300.0,1.16467074462916,-8.003738678305027,549.0,0.21992215897538772,both
Ccnb1,6.83572245958608e-05,78.0,1.11861350682682,-9.590763300367573,1124.0,0.1617116555276981,both
Sppl3,0.000595929751300295,495.0,1.17904021491889,-7.4253877647915925,446.0,0.23761292686271318,both
BC002199,0.000295290489624844,264.0,1.15754998518134,-8.127550975541197,621.0,0.21107449311075518,both
C630022N07Rik,0.00143763524231644,1024.0,1.20296360373591,-6.544755708106729,292.0,0.266592993715951,both
